Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,NBA Draft,Tenure (Years),Draft Round,Overall Pick,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Gary Clark,,,,0.31,100.00,ORL,2018.00,3.00,,,SF,26.00,ORL,35.00,11.00,637.00,40.00,131.00,31.00,108.00,0.29,9.00,23.00,0.39,0.42,8.00,10.00,0.80,33.00,79.00,112.00,30.00,12.00,7.00,17.00,34.00,119.00,0.05,0.12,0.18,0.05,0.02,0.01,0.03,0.05,0.19
Freddie Gillespie,,,,0.52,178.00,TOR,2020.00,1.00,,,PF,23.00,TOR,20.00,2.00,392.00,44.00,84.00,0.00,0.00,,44.00,84.00,0.52,0.52,23.00,33.00,0.70,42.00,55.00,97.00,9.00,13.00,20.00,12.00,43.00,111.00,0.11,0.14,0.25,0.02,0.03,0.05,0.03,0.11,0.28
Frank Ntilikina,,,,0.37,370.00,NYK,2017.00,4.00,1.00,8.00,PG,22.00,NYK,33.00,4.00,322.00,29.00,79.00,23.00,48.00,0.48,6.00,31.00,0.19,0.51,8.00,18.00,0.44,6.00,25.00,31.00,19.00,18.00,4.00,11.00,45.00,89.00,0.02,0.08,0.10,0.06,0.06,0.01,0.03,0.14,0.28
Facundo Campazzo,,,,0.38,88.00,DEN,2013.00,8.00,,,PG,29.00,DEN,65.00,19.00,1425.00,120.00,315.00,76.00,216.00,0.35,44.00,99.00,0.44,0.50,80.00,91.00,0.88,22.00,112.00,134.00,232.00,79.00,14.00,73.00,132.00,396.00,0.02,0.08,0.09,0.16,0.06,0.01,0.05,0.09,0.28
Dorian Finney-Smith,,,,0.47,156.00,DAL,2016.00,5.00,,,PF,27.00,DAL,60.00,60.00,1921.00,220.00,466.00,119.00,302.00,0.39,101.00,164.00,0.62,0.60,31.00,41.00,0.76,98.00,228.00,326.00,102.00,52.00,25.00,48.00,138.00,590.00,0.05,0.12,0.17,0.05,0.03,0.01,0.02,0.07,0.31
Devonte' Graham,,,,0.38,183.00,CHO,2018.00,3.00,2.00,34.00,PG,25.00,CHO,55.00,44.00,1659.00,252.00,669.00,179.00,477.00,0.38,73.00,192.00,0.38,0.51,133.00,158.00,0.84,22.00,126.00,148.00,295.00,48.00,6.00,84.00,77.00,816.00,0.01,0.08,0.09,0.18,0.03,0.00,0.05,0.05,0.49
Devin Cannady,,,,0.39,90.00,ORL,2019.00,2.00,,,PG,24.00,ORL,8.00,0.00,74.00,11.00,28.00,6.00,16.00,0.38,5.00,12.00,0.42,0.50,6.00,7.00,0.86,0.00,5.00,5.00,1.00,5.00,1.00,2.00,9.00,34.00,0.00,0.07,0.07,0.01,0.07,0.01,0.03,0.12,0.46
Derrick Jones Jr.,1.00,1.00,1.00,0.48,264.00,POR,2016.00,5.00,,,SF,23.00,POR,58.00,43.00,1318.00,147.00,304.00,43.00,136.00,0.32,104.00,168.00,0.62,0.55,59.00,91.00,0.65,77.00,128.00,205.00,47.00,37.00,54.00,32.00,127.00,396.00,0.06,0.10,0.16,0.04,0.03,0.04,0.02,0.10,0.30
DeMarcus Cousins,4.00,4.00,4.00,0.43,110.00,TOT,2010.00,11.00,1.00,5.00,C,30.00,TOT,41.00,11.00,713.00,130.00,305.00,47.00,135.00,0.35,83.00,170.00,0.49,0.50,59.00,81.00,0.73,53.00,210.00,263.00,76.00,34.00,24.00,64.00,107.00,366.00,0.07,0.29,0.37,0.11,0.05,0.03,0.09,0.15,0.51
Darius Garland,1.00,1.00,1.00,0.45,170.00,CLE,2019.00,2.00,1.00,5.00,PG,21.00,CLE,54.00,50.00,1790.00,362.00,802.00,105.00,266.00,0.40,257.00,536.00,0.48,0.52,112.00,132.00,0.85,23.00,106.00,129.00,329.00,66.00,6.00,164.00,110.00,941.00,0.01,0.06,0.07,0.18,0.04,0.00,0.09,0.06,0.53
Daniel Theis,,,,0.55,477.00,BOS,2013.00,8.00,,,C,28.00,BOS,42.00,37.00,1027.00,159.00,288.00,33.00,95.00,0.35,126.00,193.00,0.65,0.61,46.00,67.00,0.69,54.00,166.00,220.00,67.00,25.00,43.00,41.00,120.00,397.00,0.05,0.16,0.21,0.07,0.02,0.04,0.04,0.12,0.39
Damyean Dotson,,,,0.41,132.00,CLE,2017.00,4.00,2.00,44.00,SG,26.00,CLE,46.00,7.00,907.00,119.00,293.00,46.00,159.00,0.29,73.00,134.00,0.55,0.49,24.00,36.00,0.67,5.00,88.00,93.00,91.00,16.00,4.00,42.00,42.00,308.00,0.01,0.10,0.10,0.10,0.02,0.00,0.05,0.05,0.34
Damian Jones,,,,0.50,263.00,PHO,2016.00,5.00,1.00,30.00,C,25.00,PHO,14.00,0.00,94.00,8.00,16.00,0.00,1.00,0.00,8.00,15.00,0.53,0.50,6.00,11.00,0.55,7.00,11.00,18.00,4.00,1.00,5.00,6.00,19.00,22.00,0.07,0.12,0.19,0.04,0.01,0.05,0.06,0.20,0.23
Cory Joseph,1.00,1.00,1.00,0.47,269.00,TOT,2011.00,10.00,1.00,29.00,PG,29.00,TOT,63.00,13.00,1446.00,200.00,426.00,45.00,132.00,0.34,155.00,294.00,0.53,0.52,72.00,88.00,0.82,35.00,124.00,159.00,213.00,61.00,18.00,79.00,139.00,517.00,0.02,0.09,0.11,0.15,0.04,0.01,0.05,0.10,0.36
Coby White,5.00,5.00,5.00,0.42,518.00,CHI,2019.00,2.00,1.00,7.00,PG,20.00,CHI,69.00,54.00,2156.00,375.00,902.00,163.00,454.00,0.36,212.00,448.00,0.47,0.51,128.00,142.00,0.90,28.00,256.00,284.00,328.00,38.00,15.00,156.00,179.00,1041.00,0.01,0.12,0.13,0.15,0.02,0.01,0.07,0.08,0.48
Christian Wood,,,,0.51,534.00,HOU,2015.00,6.00,,,C,25.00,HOU,41.00,41.00,1326.00,329.00,640.00,77.00,206.00,0.37,252.00,434.00,0.58,0.57,125.00,198.00,0.63,76.00,319.00,395.00,71.00,34.00,48.00,80.00,88.00,860.00,0.06,0.24,0.30,0.05,0.03,0.04,0.06,0.07,0.65
Chris Boucher,,,,0.51,59.00,TOR,2017.00,4.00,,,C,28.00,TOR,60.00,14.00,1453.00,288.00,560.00,90.00,235.00,0.38,198.00,325.00,0.61,0.60,152.00,193.00,0.79,117.00,287.00,404.00,63.00,35.00,111.00,46.00,166.00,818.00,0.08,0.20,0.28,0.04,0.02,0.08,0.03,0.11,0.56
Charlie Brown,,,,0.30,73.00,OKC,2019.00,2.00,,,SG,23.00,OKC,9.00,1.00,152.00,13.00,43.00,5.00,21.00,0.24,8.00,22.00,0.36,0.36,9.00,10.00,0.90,3.00,14.00,17.00,9.00,4.00,2.00,6.00,19.00,40.00,0.02,0.09,0.11,0.06,0.03,0.01,0.04,0.13,0.26
Cassius Stanley,1.00,1.00,1.00,0.30,467.00,IND,2020.00,1.00,2.00,54.00,SG,21.00,IND,24.00,0.00,93.00,13.00,43.00,3.00,13.00,0.23,10.00,30.00,0.33,0.34,7.00,9.00,0.78,8.00,12.00,20.00,1.00,1.00,2.00,1.00,14.00,36.00,0.09,0.13,0.22,0.01,0.01,0.02,0.01,0.15,0.39
Carsen Edwards,,,,0.42,142.00,BOS,2019.00,2.00,2.00,33.00,SG,22.00,BOS,31.00,1.00,276.00,47.00,111.00,18.00,63.00,0.29,29.00,48.00,0.60,0.51,11.00,13.00,0.85,3.00,23.00,26.00,14.00,7.00,1.00,7.00,25.00,123.00,0.01,0.08,0.09,0.05,0.03,0.00,0.03,0.09,0.45
Carmelo Anthony,5.00,5.00,4.00,0.42,15.00,POR,2003.00,18.00,1.00,3.00,PF,36.00,POR,69.00,3.00,1690.00,327.00,777.00,133.00,325.00,0.41,194.00,452.00,0.43,0.51,137.00,154.00,0.89,32.00,182.00,214.00,104.00,46.00,38.00,61.00,144.00,924.00,0.02,0.11,0.13,0.06,0.03,0.02,0.04,0.09,0.55
Caris LeVert,2.00,2.00,2.00,0.44,295.00,BRK,2016.00,5.00,1.00,20.00,SG,26.00,BRK,12.00,4.00,334.00,87.00,200.00,22.00,63.00,0.35,65.00,137.00,0.47,0.49,26.00,34.00,0.77,10.00,42.00,52.00,72.00,13.00,6.00,26.00,20.00,222.00,0.03,0.13,0.16,0.22,0.04,0.02,0.08,0.06,0.66
Cam Reddish,1.00,1.00,1.00,0.37,422.00,ATL,2019.00,2.00,1.00,10.00,SF,21.00,ATL,26.00,21.00,750.00,96.00,263.00,33.00,126.00,0.26,63.00,137.00,0.46,0.43,67.00,82.00,0.82,22.00,82.00,104.00,35.00,33.00,9.00,34.00,68.00,292.00,0.03,0.11,0.14,0.05,0.04,0.01,0.05,0.09,0.39
Brodric Thomas,,,,0.29,478.00,HOU,2020.00,1.00,,,SG,24.00,HOU,4.00,0.00,24.00,2.00,7.00,1.00,6.00,0.17,1.00,1.00,1.00,0.36,5.00,7.00,0.71,1.00,3.00,4.00,4.00,1.00,1.00,4.00,5.00,10.00,0.04,0.13,0.17,0.17,0.04,0.04,0.17,0.21,0.42
Bogdan Bogdanović,1.00,1.00,1.00,0.47,52.00,ATL,2014.00,7.00,1.00,27.00,SG,28.00,ATL,44.00,27.00,1305.00,267.00,565.00,146.00,333.00,0.44,121.00,232.00,0.52,0.60,40.00,44.00,0.91,20.00,140.00,160.00,147.00,49.00,13.00,54.00,99.00,720.00,0.02,0.11,0.12,0.11,0.04,0.01,0.04,0.08,0.55
Blake Griffin,11.00,11.00,9.00,0.42,191.00,BRK,2009.00,12.00,1.00,1.00,PF,31.00,TOT,46.00,30.00,1186.00,174.00,411.00,70.00,205.00,0.34,104.00,206.00,0.51,0.51,87.00,117.00,0.74,35.00,190.00,225.00,140.00,32.00,15.00,62.00,111.00,505.00,0.03,0.16,0.19,0.12,0.03,0.01,0.05,0.09,0.43
Blake Griffin,11.00,11.00,9.00,0.49,191.00,TOT,2009.00,12.00,1.00,1.00,PF,31.00,BRK,26.00,10.00,560.00,93.00,189.00,31.00,81.00,0.38,62.00,108.00,0.57,0.57,43.00,55.00,0.78,28.00,93.00,121.00,63.00,18.00,13.00,30.00,69.00,260.00,0.05,0.17,0.22,0.11,0.03,0.02,0.05,0.12,0.46
Alex Caruso,3.00,3.00,2.00,0.44,96.00,LAL,2016.00,5.00,,81.00,PG,26.00,LAL,58.00,6.00,1216.00,133.00,305.00,55.00,137.00,0.40,78.00,168.00,0.46,0.53,49.00,76.00,0.65,31.00,139.00,170.00,160.00,64.00,15.00,76.00,108.00,370.00,0.03,0.11,0.14,0.13,0.05,0.01,0.06,0.09,0.30
Al-Farouq Aminu,,,,0.38,10.00,TOT,2010.00,11.00,1.00,8.00,PF,30.00,TOT,23.00,14.00,434.00,38.00,99.00,8.00,37.00,0.22,30.00,62.00,0.48,0.42,18.00,22.00,0.82,22.00,88.00,110.00,31.00,19.00,9.00,28.00,29.00,102.00,0.05,0.20,0.25,0.07,0.04,0.02,0.06,0.07,0.24
Aaron Gordon,5.00,5.00,3.00,0.44,181.00,ORL,2014.00,7.00,1.00,4.00,PF,25.00,ORL,25.00,25.00,736.00,128.00,293.00,42.00,112.00,0.38,86.00,181.00,0.48,0.51,66.00,105.00,0.63,39.00,127.00,166.00,105.00,16.00,20.00,67.00,49.00,364.00,0.05,0.17,0.23,0.14,0.02,0.03,0.09,0.07,0.49
