Categories,2012,2013,2014,2015,2016,2016.1,2018,2019,2020
Northeast,81.0,103.0,118.0,102.0,118.0,94.0,85.0,74.0,97.0
Midwest,79.0,86.0,62.0,87.0,106.0,83.0,90.0,93.0,79.0
South,128.0,107.0,110.0,101.0,114.0,116.0,106.0,111.0,117.0
West,89.0,97.0,112.0,108.0,66.0,97.0,90.0,104.0,96.0
