Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,Twitter Followers,Twitter Followers (number),Twitter Posts (Past 30 days),Twitter Interactions (Past 30 days),Twitter Interactions (Past 30 days) Number,Instagram Followers,Instagram Presence (number),Instagram Posts (Past 30 Days),Instagram Interactions (Past 30 Days),Instagram Interactions (Past 30 Days) Number,Facebook Followers,Facebook Followers (number),NBA Draft,Tenure (Years),Draft Round,Overall Pick,Notes,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Ignas Brazdeikis,,,,0,64,PHI,24.65k,24650,0,0,0,68.27k,68270,0,0,0,,,2019,2,2,47,,SF,22,PHI,1,0,8,0,3,0,1,0,0,2,0,0,0,0,,0,2,2,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0
Hamidou Diallo,,,,0.481,126,OKC,65.43k,65430,4,5.69k,5690,391.03k,391030,8,136.21k,136210,,,2018,3,2,45,,SG,22,OKC,32,5,761,143,297,12,41,0.293,131,256,0.512,0.502,83,132,0.629,37,128,165,77,31,12,49,83,381,0.048620237,0.168199737,0.216819974,0.101182654,0.040735874,0.015768725,0.064388962,0.109067017,0.50065703
Goran Dragić,,,,0.432,136,MIA,,,,,,,,,,,,,2008,13,2,45,,PG,34,MIA,50,11,1337,240,555,91,244,0.373,149,311,0.479,0.514,101,122,0.828,25,144,169,219,33,8,118,113,672,0.018698579,0.107703815,0.126402393,0.163799551,0.024682124,0.005983545,0.088257292,0.084517577,0.502617801
Giannis Antetokounmpo,10,10,9,0.569,12,MIL,1.55m,1550000,8,10.76k,10760,8.92m,8920000,6,2.90m,2900000,2.49m,2490000,2013,8,1,15,,PF,26,MIL,61,61,2013,626,1100,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,0.048186786,0.285146547,0.333333333,0.177347243,0.035767511,0.036264282,0.102831595,0.083457526,0.852955787
Gary Payton II,,,,0.769,399,GSW,,,,,,,,,,,,,2016,5,,,,PG,28,GSW,10,0,40,10,13,2,4,0.5,8,9,0.889,0.846,3,4,0.75,2,9,11,1,6,1,1,8,25,0.05,0.225,0.275,0.025,0.15,0.025,0.025,0.2,0.625
Gary Clark,,,,0.305,100,ORL,,,,,,,,,,,,,2018,3,,,,SF,26,ORL,35,11,637,40,131,31,108,0.287,9,23,0.391,0.424,8,10,0.8,33,79,112,30,12,7,17,34,119,0.051805338,0.124018838,0.175824176,0.047095761,0.018838305,0.010989011,0.026687598,0.053375196,0.186813187
Freddie Gillespie,,,,0.524,178,TOR,5.58k,5580000,12,28.12k,28120,,,,,,,,2020,1,,,,PF,23,TOR,20,2,392,44,84,0,0,,44,84,0.524,0.524,23,33,0.697,42,55,97,9,13,20,12,43,111,0.107142857,0.140306122,0.24744898,0.022959184,0.033163265,0.051020408,0.030612245,0.109693878,0.283163265
Frank Ntilikina,,,,0.367,370,NYK,84.22k,84220,6,80.23k,80230,254.21k,254210,2,49.99k,49990,,,2017,4,1,8,,PG,22,NYK,33,4,322,29,79,23,48,0.479,6,31,0.194,0.513,8,18,0.444,6,25,31,19,18,4,11,45,89,0.01863354,0.077639752,0.096273292,0.059006211,0.055900621,0.01242236,0.034161491,0.139751553,0.276397516
Facundo Campazzo,,,,0.381,88,DEN,363.01k,363010,6,112.46k,112460,505.14k,505140,2,192.57k,192570,,,2013,8,,,,PG,29,DEN,65,19,1425,120,315,76,216,0.352,44,99,0.444,0.502,80,91,0.879,22,112,134,232,79,14,73,132,396,0.015438596,0.078596491,0.094035088,0.162807018,0.055438596,0.009824561,0.05122807,0.092631579,0.277894737
Dorian Finney-Smith,,,,0.472,156,DAL,12.94k,12940,2,112,112,62.79k,62790,2,17.73k,17730,,,2016,5,,,,PF,27,DAL,60,60,1921,220,466,119,302,0.394,101,164,0.616,0.6,31,41,0.756,98,228,326,102,52,25,48,138,590,0.051015096,0.118688183,0.16970328,0.053097345,0.027069235,0.013014055,0.024986986,0.071837585,0.307131702
Devonte' Graham,,,,0.377,183,CHO,31.13k,31130,10,10.94k,10940,257.43k,257430,2,27.67k,27670,,,2018,3,2,34,,PG,25,CHO,55,44,1659,252,669,179,477,0.375,73,192,0.38,0.51,133,158,0.842,22,126,148,295,48,6,84,77,816,0.013261001,0.075949367,0.089210368,0.177817963,0.028933092,0.003616637,0.050632911,0.046413502,0.491862568
Devin Cannady,,,,0.393,90,ORL,2.30k,2300,46,109.37k,109370,14.98k,14980,4,13.76k,13760,,,2019,2,,,,PG,24,ORL,8,0,74,11,28,6,16,0.375,5,12,0.417,0.5,6,7,0.857,0,5,5,1,5,1,2,9,34,0,0.067567568,0.067567568,0.013513514,0.067567568,0.013513514,0.027027027,0.121621622,0.459459459
Derrick Jones Jr.,1,1,1,0.484,264,POR,30.50k,30500,1,33,33,,,,,,,,2016,5,,,,SF,23,POR,58,43,1318,147,304,43,136,0.316,104,168,0.619,0.554,59,91,0.648,77,128,205,47,37,54,32,127,396,0.058421851,0.097116844,0.155538695,0.035660091,0.028072838,0.040971168,0.024279211,0.096358118,0.300455235
DeMarcus Cousins,4,4,4,0.426,110,TOT,1.26m,1260000,0,0,0,2.98m,2980000,2,75.05k,75050,,,2010,11,1,5,,C,30,TOT,41,11,713,130,305,47,135,0.348,83,170,0.488,0.503,59,81,0.728,53,210,263,76,34,24,64,107,366,0.074333801,0.294530154,0.368863955,0.106591865,0.047685835,0.033660589,0.089761571,0.150070126,0.513323983
Darius Garland,1,1,1,0.451,170,CLE,35.14k,35140,7,4.94k,4940,316.93k,316930,5,108.05k,108050,,,2019,2,1,5,,PG,21,CLE,54,50,1790,362,802,105,266,0.395,257,536,0.479,0.517,112,132,0.848,23,106,129,329,66,6,164,110,941,0.012849162,0.059217877,0.072067039,0.183798883,0.036871508,0.003351955,0.091620112,0.061452514,0.525698324
Daniel Theis,,,,0.552,477,BOS,51.08k,51080,8,5.43k,5430,155.07k,155070,3,51.48k,51480,,,2013,8,,,,C,28,BOS,42,37,1027,159,288,33,95,0.347,126,193,0.653,0.609,46,67,0.687,54,166,220,67,25,43,41,120,397,0.052580331,0.161635833,0.214216164,0.065238559,0.024342746,0.041869523,0.039922103,0.11684518,0.386562804
Damyean Dotson,,,,0.406,132,CLE,16.14k,16140,0,0,0,,,,,,,,2017,4,2,44,,SG,26,CLE,46,7,907,119,293,46,159,0.289,73,134,0.545,0.485,24,36,0.667,5,88,93,91,16,4,42,42,308,0.005512679,0.097023153,0.102535832,0.100330761,0.017640573,0.004410143,0.046306505,0.046306505,0.339581036
Damian Jones,,,,0.5,263,PHO,24.70k,24700,1,493,493,85.31k,85310,0,0,0,,,2016,5,1,30,,C,25,PHO,14,0,94,8,16,0,1,0,8,15,0.533,0.5,6,11,0.545,7,11,18,4,1,5,6,19,22,0.074468085,0.117021277,0.191489362,0.042553191,0.010638298,0.053191489,0.063829787,0.20212766,0.234042553
Cory Joseph,1,1,1,0.469,269,TOT,108.93k,108930,,,,,,,,,,,2011,10,1,29,,PG,29,TOT,63,13,1446,200,426,45,132,0.341,155,294,0.527,0.522,72,88,0.818,35,124,159,213,61,18,79,139,517,0.024204703,0.085753804,0.109958506,0.147302905,0.042185339,0.012448133,0.054633472,0.096127248,0.357538036
Coby White,5,5,5,0.416,518,CHI,64.88k,64880,25,69,69,,,0,0,0,,,2019,2,1,7,,PG,20,CHI,69,54,2156,375,902,163,454,0.359,212,448,0.473,0.506,128,142,0.901,28,256,284,328,38,15,156,179,1041,0.012987013,0.118738404,0.131725417,0.152133581,0.017625232,0.006957328,0.072356215,0.083024119,0.48283859
Christian Wood,,,,0.514,534,HOU,,,,,,,,,,,,,2015,6,,,,C,25,HOU,41,41,1326,329,640,77,206,0.374,252,434,0.581,0.574,125,198,0.631,76,319,395,71,34,48,80,88,860,0.057315234,0.240573152,0.297888386,0.053544495,0.025641026,0.036199095,0.060331825,0.066365008,0.648567119
Chris Boucher,,,,0.514,59,TOR,,,,,,,,,,,,,2017,4,,,,C,28,TOR,60,14,1453,288,560,90,235,0.383,198,325,0.609,0.595,152,193,0.788,117,287,404,63,35,111,46,166,818,0.080523056,0.197522368,0.278045423,0.043358568,0.024088094,0.076393668,0.031658637,0.114246387,0.562973159
Charlie Brown,,,,0.302,73,OKC,,,,,,,,,,,,,2019,2,,,,SG,23,OKC,9,1,152,13,43,5,21,0.238,8,22,0.364,0.36,9,10,0.9,3,14,17,9,4,2,6,19,40,0.019736842,0.092105263,0.111842105,0.059210526,0.026315789,0.013157895,0.039473684,0.125,0.263157895
Cassius Stanley,1,1,1,0.302,467,IND,51.14k,51140,4,29.18k,,535.75k,535750,2,49.99k,49990,,,2020,1,2,54,,SG,21,IND,24,0,93,13,43,3,13,0.231,10,30,0.333,0.337,7,9,0.778,8,12,20,1,1,2,1,14,36,0.086021505,0.129032258,0.215053763,0.010752688,0.010752688,0.021505376,0.010752688,0.150537634,0.387096774
Carsen Edwards,,,,0.423,142,BOS,601.7k,601700,2,426,,296.83k,296830,0,0,0,,,2019,2,2,33,,SG,22,BOS,31,1,276,47,111,18,63,0.286,29,48,0.604,0.505,11,13,0.846,3,23,26,14,7,1,7,25,123,0.010869565,0.083333333,0.094202899,0.050724638,0.025362319,0.003623188,0.025362319,0.09057971,0.445652174
Carmelo Anthony,5,5,4,0.421,15,POR,9.18m,9180000,18,24.23k,,7.43m,7430000,7,1.12m,1120000,6.20m,6200000,2003,18,1,3,,PF,36,POR,69,3,1690,327,777,133,325,0.409,194,452,0.429,0.506,137,154,0.89,32,182,214,104,46,38,61,144,924,0.018934911,0.107692308,0.126627219,0.061538462,0.027218935,0.022485207,0.036094675,0.085207101,0.546745562
Caris LeVert,2,2,2,0.435,295,BRK,52.66k,52660,0,0,,,,,,,,,2016,5,1,20,,SG,26,BRK,12,4,334,87,200,22,63,0.349,65,137,0.474,0.49,26,34,0.765,10,42,52,72,13,6,26,20,222,0.02994012,0.125748503,0.155688623,0.215568862,0.038922156,0.017964072,0.077844311,0.05988024,0.664670659
Cam Reddish,1,1,1,0.365,422,ATL,71.31k,71310,0,0,,545.34k,545340,1,46.52k,46520,,,2019,2,1,10,,SF,21,ATL,26,21,750,96,263,33,126,0.262,63,137,0.46,0.428,67,82,0.817,22,82,104,35,33,9,34,68,292,0.029333333,0.109333333,0.138666667,0.046666667,0.044,0.012,0.045333333,0.090666667,0.389333333
Brodric Thomas,,,,0.286,478,HOU,1.27k,1270,11,654,,,,,,,,,2020,1,,,,SG,24,HOU,4,0,24,2,7,1,6,0.167,1,1,1,0.357,5,7,0.714,1,3,4,4,1,1,4,5,10,0.041666667,0.125,0.166666667,0.166666667,0.041666667,0.041666667,0.166666667,0.208333333,0.416666667
Bogdan Bogdanović,1,1,1,0.473,52,ATL,270.54k,270540,21,2.38k,,,,,,,,,2014,7,1,27,,SG,28,ATL,44,27,1305,267,565,146,333,0.438,121,232,0.522,0.602,40,44,0.909,20,140,160,147,49,13,54,99,720,0.01532567,0.107279693,0.122605364,0.112643678,0.037547893,0.009961686,0.04137931,0.075862069,0.551724138
Blake Griffin,11,11,9,0.423,191,BRK,4.55m,4550000,1,0,,3.76m,3760000,1,19.54k,19540,4.39m,4390000,2009,12,1,1,,PF,31,TOT,46,30,1186,174,411,70,205,0.341,104,206,0.505,0.509,87,117,0.744,35,190,225,140,32,15,62,111,505,0.029510961,0.160202361,0.189713322,0.118043845,0.02698145,0.012647555,0.05227656,0.093591906,0.425801012
Blake Griffin,11,11,9,0.492,191,TOT,4.55m,4550000,1,0,,3.76m,3760000,1,19.54k,19540,4.39m,4390000,2009,12,1,1,,PF,31,BRK,26,10,560,93,189,31,81,0.383,62,108,0.574,0.574,43,55,0.782,28,93,121,63,18,13,30,69,260,0.05,0.166071429,0.216071429,0.1125,0.032142857,0.023214286,0.053571429,0.123214286,0.464285714
Alex Caruso,3,3,2,0.436,96,LAL,274.91k,274910,15,107.87k,,1.48m,1480000,1,127.96k,,,,2016,5,,81,,PG,26,LAL,58,6,1216,133,305,55,137,0.401,78,168,0.464,0.526,49,76,0.645,31,139,170,160,64,15,76,108,370,0.025493421,0.114309211,0.139802632,0.131578947,0.052631579,0.012335526,0.0625,0.088815789,0.304276316
Al-Farouq Aminu,,,,0.384,10,TOT,,,,,,,,,,,,,2010,11,1,8,,PF,30,TOT,23,14,434,38,99,8,37,0.216,30,62,0.484,0.424,18,22,0.818,22,88,110,31,19,9,28,29,102,0.050691244,0.202764977,0.253456221,0.071428571,0.043778802,0.020737327,0.064516129,0.066820276,0.235023041
Aaron Gordon,5,5,3,0.437,181,ORL,196.74k,196740,0,0,,1.22m,1220000,3,66.20k,66200,,,2014,7,1,4,,PF,25,ORL,25,25,736,128,293,42,112,0.375,86,181,0.475,0.509,66,105,0.629,39,127,166,105,16,20,67,49,364,0.05298913,0.172554348,0.225543478,0.142663043,0.02173913,0.027173913,0.091032609,0.066576087,0.494565217
