Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,Twitter Followers,Twitter Followers (number),Twitter Posts (Past 30 days),Twitter Interactions (Past 30 days),Twitter Interactions (Past 30 days) Number,Instagram Followers,Instagram Presence (number),Instagram Posts (Past 30 Days),Instagram Interactions (Past 30 Days),Instagram Interactions (Past 30 Days) Number,Facebook Followers,Facebook Followers (number),NBA Draft,Tenure (Years),Draft Round,Overall Pick,Notes,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
R.J. Hampton,1,1,1,0.439,198,ORL,,,,,,,,,,,,,2020,1,1,24,,SG,19,ORL,26,1,655,111,253,22,69,0.319,89,184,0.484,0.482,46,70,0.657,19,110,129,73,16,8,42,39,290,0.029007634,0.167938931,0.196946565,0.111450382,0.024427481,0.01221374,0.064122137,0.059541985,0.442748092
Quinn Cook,,,,0.462,108,LAL,202.41k,202410,4,8.05k,8050,1.01m,1010000,0,0,0,,,2015,6,,,Doesn’t show on roster ,PG,27,LAL,16,0,62,12,26,5,13,0.385,7,13,0.538,0.558,4,5,0.8,0,5,5,5,1,1,3,2,33,0,0.080645161,0.080645161,0.080645161,0.016129032,0.016129032,0.048387097,0.032258065,0.532258065
Paul Reed,,,,0.538,424,PHI,14.64k,14640,39,8.30k,8300,,,,,,,,2020,1,2,58,,PF,21,PHI,26,0,177,42,78,0,6,0,42,72,0.583,0.538,4,8,0.5,30,31,61,12,10,13,12,29,88,0.169491525,0.175141243,0.344632768,0.06779661,0.056497175,0.073446328,0.06779661,0.163841808,0.497175141
Patty Mills,,,,0.412,345,SAS,406.36k,406360,4,2.53k,2530,413.90k,413900,1,21.60k,21600,,,2009,12,2,55,,PG,32,SAS,68,1,1685,252,611,161,429,0.375,91,182,0.5,0.544,71,78,0.91,18,98,116,162,42,3,66,81,736,0.010682493,0.058160237,0.06884273,0.096142433,0.024925816,0.001780415,0.039169139,0.048071217,0.436795252
Patrick McCaw,,,,1,327,TOR,,,,,,,,,,,,,2016,5,2,38,,SF,25,TOR,5,0,33,1,1,0,0,,1,1,1,1,3,3,1,1,2,3,4,2,0,0,6,5,0.03030303,0.060606061,0.090909091,0.121212121,0.060606061,0,0,0.181818182,0.151515152
P.J. Tucker,,,,0.391,493,MIL,,,,,,,,,,,,,2006,15,2,35,,PF,35,MIL,20,1,397,18,46,13,33,0.394,5,13,0.385,0.533,3,5,0.6,18,38,56,16,10,2,7,34,52,0.04534005,0.095717884,0.141057935,0.040302267,0.025188917,0.005037783,0.017632242,0.085642317,0.130982368
Norvel Pelle,,,,0.714,400,BRK,,,,,,,,,,,,,2014,7,,,,C,27,NYK,9,0,52,5,7,0,0,,5,7,0.714,0.714,1,2,0.5,2,9,11,1,1,6,0,4,11,0.038461538,0.173076923,0.211538462,0.019230769,0.019230769,0.115384615,0,0.076923077,0.211538462
Norvel Pelle,,,,0.429,400,NYK,,,,,,,,,,,,,2014,7,,,,C,27,BRK,3,0,28,3,7,0,0,,3,7,0.429,0.429,0,0,,3,4,7,0,0,3,3,9,6,0.107142857,0.142857143,0.25,0,0,0.107142857,0.107142857,0.321428571,0.214285714
Norvel Pelle,,,,0,400,SAC,,,,,,,,,,,,,2014,7,,,,C,27,SAC,1,0,4,0,1,0,0,,0,1,0,0,3,4,0.75,1,0,1,1,0,0,0,1,3,0.25,0,0.25,0.25,0,0,0,0.25,0.75
Moritz Wagner,1,1,1,0.454,506,TOT,,,,,,,,,,,,,2018,3,1,25,,C,23,TOT,45,24,722,104,229,31,91,0.341,73,138,0.529,0.522,71,87,0.816,27,119,146,50,26,18,43,108,310,0.037396122,0.164819945,0.202216066,0.069252078,0.03601108,0.024930748,0.059556787,0.149584488,0.429362881
Montrezl Harrell,3,3,2,0.622,203,LAL,147.46k,147460,23,41.32k,41320,566.70k,66700,22,445.16k,445160,,,2015,6,2,32,,C,27,LAL,69,1,1580,375,603,0,10,0,375,593,0.632,0.622,181,256,0.707,158,270,428,73,46,49,74,128,931,0.1,0.170886076,0.270886076,0.046202532,0.029113924,0.031012658,0.046835443,0.081012658,0.589240506
Matthew Dellavedova,4,4,3,0.25,123,CLE,179.31k,179310,6,1.33k,1330,,,,,,,,2013,8,,,,PG,30,CLE,13,1,224,14,56,4,25,0.16,10,31,0.323,0.286,4,4,1,6,18,24,58,4,1,6,21,36,0.026785714,0.080357143,0.107142857,0.258928571,0.017857143,0.004464286,0.026785714,0.09375,0.160714286
Matt Thomas,,,,0.387,481,TOR,34.91k,34910,,,,63.97K,63970,,,,,,2017,4,,,,SG,26,TOR,26,0,192,24,62,17,41,0.415,7,21,0.333,0.524,6,7,0.857,3,18,21,9,2,0,6,10,71,0.015625,0.09375,0.109375,0.046875,0.010416667,0,0.03125,0.052083333,0.369791667
Mason Jones,,,,0.412,265,HOU,15.93k,15930,5,9.75K,9750,22.92k,22920,2,4.69K,4690,,,2020,1,,,,SG,22,HOU,26,1,307,47,114,23,64,0.359,24,50,0.48,0.513,35,57,0.614,4,47,51,39,6,1,28,22,152,0.013029316,0.153094463,0.166123779,0.127035831,0.019543974,0.003257329,0.091205212,0.071661238,0.495114007
Marquese Chriss,1,1,1,0.357,99,GSW,32.16k,32160,28,291.85k,291850,139.83k,139830,1,13.68k,13680,,,2016,5,1,8,,PF,23,GSW,2,0,27,5,14,1,5,0.2,4,9,0.444,0.393,2,4,0.5,3,10,13,2,0,2,2,3,13,0.111111111,0.37037037,0.481481481,0.074074074,0,0.074074074,0.074074074,0.111111111,0.481481481
Marc Gasol,,,,0.454,171,LAL,1.24m,4800,0,0,0,,,,,,,,2007,14,2,48,,C,36,LAL,52,42,993,88,194,50,122,0.41,38,72,0.528,0.582,36,50,0.72,38,177,215,109,26,58,53,115,262,0.038267875,0.178247734,0.216515609,0.109768379,0.026183283,0.058408862,0.053373615,0.115810675,0.263846928
